episode,score,average_score,steps,total_steps
0,12.0,12.0,12,12
1,12.0,12.0,12,24
2,46.0,23.333333333333332,46,70
3,13.0,20.75,13,83
4,26.0,21.8,26,109
5,18.0,21.166666666666668,18,127
6,12.0,19.857142857142858,12,139
7,18.0,19.625,18,157
8,10.0,18.555555555555557,10,167
9,10.0,17.7,10,177
10,21.0,18.0,21,198
11,47.0,20.416666666666668,47,245
12,14.0,19.923076923076923,14,259
13,10.0,19.214285714285715,10,269
14,23.0,19.466666666666665,23,292
15,47.0,21.1875,47,339
16,15.0,20.823529411764707,15,354
17,67.0,23.38888888888889,67,421
18,21.0,23.263157894736842,21,442
19,12.0,22.7,12,454
20,13.0,22.238095238095237,13,467
21,62.0,24.045454545454547,62,529
22,30.0,24.304347826086957,30,559
23,28.0,24.458333333333332,28,587
24,13.0,24.0,13,600
25,18.0,23.76923076923077,18,618
26,15.0,23.444444444444443,15,633
27,11.0,23.0,11,644
28,12.0,22.620689655172413,12,656
29,19.0,22.5,19,675
30,10.0,22.096774193548388,10,685
31,25.0,22.1875,25,710
32,12.0,21.87878787878788,12,722
33,40.0,22.41176470588235,40,762
34,13.0,22.142857142857142,13,775
35,13.0,21.88888888888889,13,788
36,11.0,21.594594594594593,11,799
37,31.0,21.842105263157894,31,830
38,19.0,21.76923076923077,19,849
39,9.0,21.45,9,858
40,9.0,21.146341463414632,9,867
41,11.0,20.904761904761905,11,878
42,10.0,20.651162790697676,10,888
43,11.0,20.431818181818183,11,899
44,9.0,20.177777777777777,9,908
45,12.0,20.0,12,920
46,19.0,19.97872340425532,19,939
47,14.0,19.854166666666668,14,953
48,13.0,19.714285714285715,13,966
49,18.0,19.68,18,984
50,13.0,19.54901960784314,13,997
51,23.0,19.615384615384617,23,1020
52,21.0,19.641509433962263,21,1041
53,17.0,19.59259259259259,17,1058
54,41.0,19.98181818181818,41,1099
55,68.0,20.839285714285715,68,1167
56,42.0,21.210526315789473,42,1209
57,10.0,21.017241379310345,10,1219
58,41.0,21.35593220338983,41,1260
59,43.0,21.716666666666665,43,1303
60,56.0,22.278688524590162,56,1359
61,29.0,22.387096774193548,29,1388
62,16.0,22.285714285714285,16,1404
63,17.0,22.203125,17,1421
64,8.0,21.984615384615385,8,1429
65,9.0,21.78787878787879,9,1438
66,17.0,21.71641791044776,17,1455
67,11.0,21.558823529411764,11,1466
68,18.0,21.507246376811594,18,1484
69,10.0,21.34285714285714,10,1494
70,16.0,21.267605633802816,16,1510
71,12.0,21.13888888888889,12,1522
72,51.0,21.54794520547945,51,1573
73,38.0,21.77027027027027,38,1611
74,43.0,22.053333333333335,43,1654
75,9.0,21.88157894736842,9,1663
76,131.0,23.2987012987013,131,1794
77,27.0,23.346153846153847,27,1821
78,18.0,23.27848101265823,18,1839
79,12.0,23.1375,12,1851
80,27.0,23.185185185185187,27,1878
81,9.0,23.01219512195122,9,1887
82,51.0,23.349397590361445,51,1938
83,15.0,23.25,15,1953
84,10.0,23.094117647058823,10,1963
85,10.0,22.941860465116278,10,1973
86,15.0,22.850574712643677,15,1988
87,8.0,22.681818181818183,8,1996
88,11.0,22.55056179775281,11,2007
89,11.0,22.42222222222222,11,2018
90,11.0,22.296703296703296,11,2029
91,19.0,22.26086956521739,19,2048
92,12.0,22.150537634408604,12,2060
93,19.0,22.117021276595743,19,2079
94,79.0,22.71578947368421,79,2158
95,22.0,22.708333333333332,22,2180
96,11.0,22.587628865979383,11,2191
97,70.0,23.071428571428573,70,2261
98,85.0,23.696969696969695,85,2346
99,25.0,23.71,25,2371
100,28.0,23.87,28,2399
101,19.0,23.94,19,2418
102,11.0,23.59,11,2429
103,9.0,23.55,9,2438
104,32.0,23.61,32,2470
105,71.0,24.14,71,2541
106,43.0,24.45,43,2584
107,94.0,25.21,94,2678
108,104.0,26.15,104,2782
109,16.0,26.21,16,2798
110,10.0,26.1,10,2808
111,9.0,25.72,9,2817
112,9.0,25.67,9,2826
113,27.0,25.84,27,2853
114,95.0,26.56,95,2948
115,12.0,26.21,12,2960
116,94.0,27.0,94,3054
117,10.0,26.43,10,3064
118,25.0,26.47,25,3089
119,10.0,26.45,10,3099
120,25.0,26.57,25,3124
121,160.0,27.55,160,3284
122,115.0,28.4,115,3399
123,11.0,28.23,11,3410
124,117.0,29.27,117,3527
125,10.0,29.19,10,3537
126,120.0,30.24,120,3657
127,10.0,30.23,10,3667
128,11.0,30.22,11,3678
129,11.0,30.14,11,3689
130,73.0,30.77,73,3762
131,10.0,30.62,10,3772
132,125.0,31.75,125,3897
133,19.0,31.54,19,3916
134,10.0,31.51,10,3926
135,10.0,31.48,10,3936
136,85.0,32.22,85,4021
137,139.0,33.3,139,4160
138,124.0,34.35,124,4284
139,138.0,35.64,138,4422
140,37.0,35.92,37,4459
141,62.0,36.43,62,4521
142,131.0,37.64,131,4652
143,110.0,38.63,110,4762
144,138.0,39.92,138,4900
145,127.0,41.07,127,5027
146,134.0,42.22,134,5161
147,169.0,43.77,169,5330
148,185.0,45.49,185,5515
149,129.0,46.6,129,5644
150,128.0,47.75,128,5772
151,118.0,48.7,118,5890
152,112.0,49.61,112,6002
153,142.0,50.86,142,6144
154,133.0,51.78,133,6277
155,145.0,52.55,145,6422
156,121.0,53.34,121,6543
157,121.0,54.45,121,6664
158,123.0,55.27,123,6787
159,108.0,55.92,108,6895
160,129.0,56.65,129,7024
161,116.0,57.52,116,7140
162,120.0,58.56,120,7260
163,114.0,59.53,114,7374
164,153.0,60.98,153,7527
165,142.0,62.31,142,7669
166,131.0,63.45,131,7800
167,108.0,64.42,108,7908
168,152.0,65.76,152,8060
169,135.0,67.01,135,8195
170,172.0,68.57,172,8367
171,174.0,70.19,174,8541
172,155.0,71.23,155,8696
173,156.0,72.41,156,8852
174,189.0,73.87,189,9041
175,140.0,75.18,140,9181
176,217.0,76.04,217,9398
177,159.0,77.36,159,9557
178,163.0,78.81,163,9720
179,163.0,80.32,163,9883
180,167.0,81.72,167,10050
181,213.0,83.76,213,10263
182,281.0,86.06,281,10544
183,184.0,87.75,184,10728
184,304.0,90.69,304,11032
185,331.0,93.9,331,11363
186,371.0,97.46,371,11734
187,428.0,101.66,428,12162
