episode,score,average_score,steps,total_steps
0,-82.00023687268761,-82.00023687268761,134,134
1,-579.8216325010244,-330.910934686856,105,239
2,-366.1233962609421,-342.648421878218,74,313
3,-167.32498545406568,-298.81756277217994,112,425
4,-551.3558793899482,-349.3252260957336,216,641
5,-127.1183773091391,-312.29075129796786,186,827
6,-203.74631493499118,-296.78440324611404,536,1363
7,-383.6484302293118,-307.64240661901374,348,1711
8,-161.36298524279542,-291.38913757721167,115,1826
9,4.892879953582003,-261.76093582413233,1000,2826
10,-475.49308813078807,-281.19113148837374,129,2955
11,-155.5602653284013,-270.7218926417094,299,3254
12,-619.7714576353063,-297.5718591796784,186,3440
13,-37.86595033480421,-279.02143711933024,125,3565
14,-122.45983081430846,-268.58399669899546,141,3706
15,-70.95962405319457,-256.2324734086329,281,3987
16,-258.6751728716358,-256.37616161233893,354,4341
17,-137.53929114308696,-249.77411325293608,138,4479
18,-84.26543482341442,-241.0631301776981,418,4897
19,-74.69046301792007,-232.74449681970918,182,5079
20,-13.092478384765158,-222.28487689423565,127,5206
21,-511.6498064307517,-235.43782823680456,152,5358
22,-393.6858791420652,-242.31817827616374,209,5567
23,-52.526836272939306,-234.41020569269605,265,5832
24,-460.73213258549885,-243.46308276840816,442,6274
25,-189.8498932315439,-241.40103701699033,186,6460
26,-475.21452967221165,-250.06079600422075,610,7070
