episode,score,average_score,steps,total_steps
0,-116.63791889612094,-116.63791889612094,95,95
1,-59.820391506171006,-88.22915520114597,68,163
2,-326.2503818432707,-167.56956408185422,162,325
3,-246.40965475537422,-187.27958675023422,115,440
4,-255.92069277317347,-201.00780795482206,103,543
5,-381.15959557756804,-231.0331058919464,112,655
6,-90.58720187123825,-210.9694053175595,295,950
7,-338.184092605973,-226.8712412286112,198,1148
8,-287.6182305778757,-233.62090671186283,212,1360
9,-393.8398327474306,-249.6427993154196,174,1534
10,-112.02765935988974,-237.13233204673506,119,1653
11,-324.9611385579781,-244.4513992560053,158,1811
12,-256.34204478945514,-245.36606429703988,188,1999
13,-417.62129988429194,-257.67000969612934,350,2349
14,-184.6981816810151,-252.80522116178838,228,2577
15,-450.26891138348054,-265.14670180064417,479,3056
16,-329.1901556313874,-268.9139637906879,353,3409
17,-180.8453601874269,-264.02126359050675,204,3613
18,-78.87627586758524,-254.27679055245824,143,3756
19,-103.77733566621602,-246.75181780814614,123,3879
20,-144.45036699581814,-241.88032015041625,261,4140
21,-297.91684721883814,-244.4274350171627,349,4489
22,-266.92434928126545,-245.40556172429763,280,4769
23,-82.04617503120676,-238.59892061208544,362,5131
24,-103.20918563021853,-233.18333121281077,244,5375
25,-120.84529272693649,-228.8626374248925,278,5653
26,-306.8733653454068,-231.75192364417083,209,5862
27,-255.11652265970443,-232.5863736090113,240,6102
28,-304.97392132761627,-235.0824959441356,228,6330
29,-342.52443879846425,-238.66389403927988,281,6611
30,-115.67197531349171,-234.69641279006092,175,6786
31,-89.95276596434033,-230.17317382675716,122,6908
32,-341.7778511326696,-233.55513374511816,172,7080
33,-224.925876397589,-233.3013320584261,281,7361
34,-342.56505399654486,-236.4231526852295,359,7720
35,-170.9512772389127,-234.60448947838736,364,8084
36,-47.10460357304994,-229.53692499445935,264,8348
37,-24.313137247247838,-224.13629900111167,217,8565
38,-69.43309466927545,-220.16955017209023,247,8812
39,-131.54691503021303,-217.95398429354327,226,9038
40,-245.3046595451355,-218.621073933826,276,9314
41,-80.2560240550838,-215.32666798433215,305,9619
42,-289.66586385472715,-217.05548649294596,301,9920
43,-143.8898178844343,-215.39263038820707,257,10177
44,-253.21574062562922,-216.23314394903863,363,10540
45,-222.85054111055297,-216.37700040907154,85,10625
46,-76.9915662626509,-213.41135287404134,309,10934
47,-193.6543519068177,-212.99974868722424,362,11296
48,-161.15523127078228,-211.94169731137848,209,11505
49,-0.7332428237180011,-207.7175282216253,70,11575
50,190.35713995101275,-199.9121425711814,447,12022
51,-77.68188707975172,-197.56156073480776,121,12143
52,-50.534141954443605,-194.78745849366882,215,12358
53,153.4729534949629,-188.33819160499047,423,12781
54,-203.35732568675303,-188.61126677011345,325,13106
55,-79.29248857292819,-186.65914573087792,331,13437
56,-137.6547372729898,-185.79941926670443,226,13663
57,-100.22372664717074,-184.32397629050558,266,13929
58,-209.81726315049553,-184.756065898302,344,14273
59,-203.32043172009543,-185.0654719953319,354,14627
60,-152.75643065295952,-184.5358155798832,209,14836
61,-93.45502043320568,-183.06677049687227,230,15066
62,-208.10634607186128,-183.46422407742767,288,15354
63,-7.18280762844644,-180.70982694541232,275,15629
64,-124.01446359604,-179.83759058619123,401,16030
65,-119.0554384488002,-178.91664888713984,117,16147
66,-250.83609637739477,-179.99007347654663,380,16527
67,-154.63237732207773,-179.61716618015737,188,16715
68,8.534691623286022,-176.89032766126687,266,16981
69,-115.706450915058,-176.0162722791782,272,17253
70,-34.69940482972768,-174.02589386439718,244,17497
71,-282.8500057344756,-175.53733986259275,237,17734
72,-133.67859814052622,-174.96393244174251,403,18137
73,-332.1552808902008,-177.0881398532082,198,18335
74,-52.267582141859144,-175.4238657503902,446,18781
75,-25.570970613008598,-173.4521171301615,287,19068
76,2.7944128130780257,-171.16320115687267,309,19377
77,-81.84525230338392,-170.01809924849462,292,19669
78,-157.79971489319868,-169.86343615538962,178,19847
79,-178.68950035387132,-169.97376195787058,124,19971
80,-277.59945392246175,-171.302474204347,529,20500
81,-163.4037644029015,-171.20614847506107,114,20614
82,-35.26751213740495,-169.56833357942668,194,20808
83,-13.620845895967435,-167.7118158689093,276,21084
84,206.83503679355178,-163.30538230817447,592,21676
85,-115.71674192746275,-162.75202602467783,335,22011
86,-217.7159705719228,-163.38379550223237,240,22251
87,-32.91537683635593,-161.9011998355747,565,22816
88,-312.7084235332876,-163.59566302318945,678,23494
89,-105.03477315694258,-162.94498646912,405,23899
90,-217.894348871286,-163.54882561639658,774,24673
91,-86.61779982812541,-162.71261881435015,559,25232
92,-67.45333709105947,-161.6883254624868,86,25318
93,-209.52100185388906,-162.19718372196982,482,25800
94,-48.94955344352303,-161.0051034032493,444,26244
95,146.10742207901228,-157.80601459614243,646,26890
96,-111.71461699824907,-157.33084554874148,419,27309
97,-122.36145127109317,-156.97401499488794,758,28067
98,-307.4989086111069,-158.49446846575884,877,28944
99,-61.01598938286738,-157.51968367492992,312,29256
100,-160.6897689066845,-157.96020217503553,435,29691
101,-358.7429972143764,-160.9494282321176,147,29838
102,-495.00402712932384,-162.63696468497812,280,30118
103,-514.1138195067018,-165.3140063324914,129,30247
104,-126.9026440003353,-164.02382584476302,192,30439
