episode,score,average_score,steps,total_steps
0,-107.67046057397934,-107.67046057397934,85,85
1,-184.56597788555933,-146.11821922976935,117,202
2,-157.44245935483832,-149.89296593812568,121,323
3,-241.7824269181579,-172.86533118313372,145,468
4,-25.03831571960228,-143.29992809042741,195,663
5,-109.4957289466247,-137.66589489979364,269,932
6,-157.93521883419072,-140.5615126047075,158,1090
7,-114.66784947886472,-137.32480471397716,141,1231
8,-62.2851227623254,-128.98706227490476,174,1405
9,-162.824948390122,-132.37085088642647,184,1589
10,-85.67511192257427,-128.12578370789444,126,1715
11,-289.920212169421,-141.608652746355,199,1914
12,-157.676946060383,-142.84467530897254,95,2009
13,-389.0271491636215,-160.42913772716176,166,2175
14,-57.29620329136199,-153.5536087647751,199,2374
15,-560.4137038927479,-178.9823647102734,145,2519
16,-47.4654083010649,-171.24607315679054,422,2941
17,-135.81563803999072,-169.27771565030167,140,3081
18,-161.37722763425492,-168.86190049156235,316,3397
19,-33.81977587250121,-162.1097942606093,231,3628
20,-110.64429508514843,-159.65905620463496,204,3832
21,-55.51111974224165,-154.925059092708,234,4066
22,-212.5070302013308,-157.42862305395246,338,4404
23,-296.9697219043459,-163.24283550605222,249,4653
24,-424.05087708858144,-173.67515716935338,180,4833
25,-128.55239579591975,-171.9396663472982,268,5101
26,-102.02210537637194,-169.3501270520787,380,5481
27,-82.16336340363516,-166.2363140646343,153,5634
28,-169.4119527802182,-166.3458188479303,192,5826
29,-79.66910585365493,-163.45659508145448,215,6041
30,74.20694049754022,-155.79002941761595,1000,7041
31,-251.23527865146298,-158.77269345617364,195,7236
32,-118.14481087004677,-157.5415454990183,261,7497
33,-126.78095801649187,-156.6368223377675,141,7638
34,-100.50803311014025,-155.0331426455496,209,7847
35,-298.3517597346714,-159.01421534246964,200,8047
36,-31.12561158605402,-155.55776659229625,347,8394
37,-231.4294730748416,-157.55439044710008,326,8720
38,-46.735569730593625,-154.71288222359993,150,8870
39,-58.14054759143984,-152.29857385779593,177,9047
40,-55.666638404342464,-149.94169738332144,145,9192
41,-90.83436464607206,-148.53437993719646,163,9355
42,-184.39900570004284,-149.3684410014487,179,9534
43,-171.24090657920584,-149.86554249185227,223,9757
44,-187.77327119387135,-150.70793646300825,110,9867
45,-188.89805052417574,-151.53815633390323,179,10046
46,-294.34795628906363,-154.5766627159279,180,10226
47,-145.05838633570357,-154.37836529133986,118,10344
48,-71.55329628986087,-152.68805776069743,194,10538
49,-250.6579519190105,-154.6474556438637,74,10612
50,-102.87736742939056,-153.63235587495248,253,10865
51,114.9214187420666,-148.46786020924057,1000,11865
52,-54.30205374813734,-146.69114687978578,210,12075
53,-302.91045146052846,-149.58409696461436,73,12148
54,-65.14336584023678,-148.04881094417112,136,12284
55,-208.9971615993373,-149.13717434872765,171,12455
56,-255.27973706181228,-150.99932457176422,171,12626
57,-306.47465733345337,-153.67993375731058,63,12689
58,-214.77248735384768,-154.7154007674214,173,12862
59,-341.3871372059891,-157.82659637473085,206,13068
60,-518.5131422893894,-163.73949057005314,101,13169
